Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
Croatia,CM,CM,MID,L. Modrić,34,172cm,66kg,Real Madrid,2012,2021,87,87,€36.5M,36500000.0,€260K,260000.0,€50.2M
Uruguay,ST,ST,ATT,L. Suárez,33,182cm,83kg,Atlético Madrid,2020,2022,87,87,€51M,51000000.0,€115K,115000.0,€64.6M
France,GK,GK,GK,H. Lloris,33,188cm,82kg,Tottenham Hotspur,2012,2022,87,87,€26M,26000000.0,€125K,125000.0,€51.3M
Italy,ST,ST,ATT,C. Immobile,30,185cm,85kg,Lazio,2016,2025,87,87,€78M,78000000.0,€125K,125000.0,€82.5M
Germany,"CAM, RM, RW",CAM,MID,T. Müller,30,186cm,75kg,FC Bayern München,2008,2023,86,86,€65.5M,65500000.0,€130K,130000.0,€69.3M
Spain,GK,GK,GK,De Gea,29,192cm,82kg,Manchester United,2011,2023,86,86,€46.5M,46500000.0,€150K,150000.0,€59.9M
Spain,RB,RB,DEF,Carvajal,28,173cm,73kg,Real Madrid,2013,2022,86,86,€61.5M,61500000.0,€230K,230000.0,€77.9M
France,CB,CB,DEF,R. Varane,27,191cm,81kg,Real Madrid,2011,2022,86,88,€72.5M,72500000.0,€220K,220000.0,€98.8M
Italy,"CM, CDM",CM,MID,M. Verratti,27,165cm,60kg,Paris Saint-Germain,2012,2024,86,87,€77.5M,77500000.0,€135K,135000.0,€96.3M
France,"CM, CDM",CM,MID,P. Pogba,27,191cm,84kg,Manchester United,2016,2021,86,87,€77.5M,77500000.0,€190K,190000.0,€98.8M
England,ST,ST,ATT,J. Vardy,33,179cm,74kg,Leicester City,2012,2023,86,86,€43.5M,43500000.0,€160K,160000.0,€53.2M
Spain,CB,CB,DEF,Piqué,33,194cm,85kg,FC Barcelona,2008,2022,86,86,€32.5M,32500000.0,€220K,220000.0,€43.1M
Germany,CB,CB,DEF,M. Hummels,31,191cm,94kg,Borussia Dortmund,2019,2022,86,86,€46.5M,46500000.0,€95K,95000.0,€56.1M
Switzerland,GK,GK,GK,Y. Sommer,31,183cm,79kg,Borussia Mönchengladbach,2014,2023,86,86,€36M,36000000.0,€55K,55000.0,€48.5M
Spain,"CAM, CM",CAM,MID,David Silva,34,173cm,67kg,Real Sociedad,2020,2022,86,86,€32M,32000000.0,€58K,58000.0,€47.3M
Argentina,"CAM, CF, ST",CAM,MID,A. Gómez,32,167cm,68kg,Atalanta,2014,2022,86,86,€54M,54000000.0,€100K,100000.0,€58.7M
Spain,LB,LB,DEF,Jordi Alba,31,170cm,68kg,FC Barcelona,2012,2024,86,86,€49.5M,49500000.0,€220K,220000.0,€65.6M
England,"CDM, CM",CDM,MID,J. Henderson,30,182cm,80kg,Liverpool,2011,2023,86,86,€57M,57000000.0,€140K,140000.0,€67.5M
Spain,"CDM, CM",CDM,MID,Rodri,24,191cm,82kg,Manchester City,2019,2024,85,88,€66.5M,66500000.0,€145K,145000.0,€84.7M
Serbia,"CM, CDM, CAM",CM,MID,S. Milinković-Savić,25,191cm,76kg,Lazio,2015,2024,85,89,€74.5M,74500000.0,€95K,95000.0,€87M
Netherlands,"CF, LW, CAM",CAM,MID,M. Depay,26,176cm,78kg,Olympique Lyonnais,2017,2021,85,88,€71.5M,71500000.0,€115K,115000.0,€95.8M
Germany,"CAM, RM, CF",CAM,MID,K. Havertz,21,188cm,83kg,Chelsea,2020,2025,85,93,€121M,121000000.0,€105K,105000.0,€119.7M
Netherlands,CB,CB,DEF,M. de Ligt,20,189cm,89kg,Juventus,2019,2024,85,92,€99M,99000000.0,€81K,81000.0,€91.6M
Slovakia,CB,CB,DEF,M. Škriniar,25,188cm,80kg,Inter,2017,2023,85,89,€67M,67000000.0,€130K,130000.0,€79M
England,"LM, ST",RM,MID,M. Rashford,22,186cm,70kg,Manchester United,2014,2023,85,91,€86.5M,86500000.0,€150K,150000.0,€111.3M
Italy,GK,GK,GK,G. Donnarumma,21,196cm,90kg,Milan,2015,2021,85,92,€93.5M,93500000.0,€34K,34000.0,€78.9M
Germany,"RM, LM, RW",RM,MID,S. Gnabry,24,175cm,75kg,FC Bayern München,2017,2023,85,87,€70M,70000000.0,€100K,100000.0,€81.9M
Germany,LM,LM,MID,L. Sané,24,184cm,75kg,FC Bayern München,2020,2025,85,90,€81.5M,81500000.0,€100K,100000.0,€88.8M
Morocco,"CAM, RW",CAM,MID,H. Ziyech,27,181cm,65kg,Chelsea,2020,2025,85,86,€62M,62000000.0,€140K,140000.0,€86.9M
France,CB,CB,DEF,C. Lenglet,25,186cm,81kg,FC Barcelona,2018,2023,85,89,€67M,67000000.0,€190K,190000.0,€94.6M
Brazil,"CB, CDM",CB,DEF,Marquinhos,26,183cm,75kg,Paris Saint-Germain,2013,2024,85,89,€66M,66000000.0,€115K,115000.0,€84.7M
Algeria,"RW, RM",RW,ATT,R. Mahrez,29,179cm,67kg,Manchester City,2018,2023,85,85,€53M,53000000.0,€210K,210000.0,€69.4M
Portugal,RB,RB,DEF,Ricardo Pereira,26,175cm,70kg,Leicester City,2018,2023,85,86,€58M,58000000.0,€120K,120000.0,€78M
Germany,"ST, LW",ST,ATT,T. Werner,24,180cm,76kg,Chelsea,2020,2025,85,88,€74.5M,74500000.0,€135K,135000.0,€97.8M
Spain,CM,CM,MID,Parejo,31,182cm,74kg,Villarreal CF,2020,2024,85,85,€44M,44000000.0,€59K,59000.0,€69.3M
Argentina,ST,ST,ATT,M. Icardi,27,181cm,75kg,Paris Saint-Germain,2020,2024,85,86,€63M,63000000.0,€135K,135000.0,€86.6M
Netherlands,CM,CM,MID,F. de Jong,23,180cm,74kg,FC Barcelona,2019,2024,85,90,€81M,81000000.0,€190K,190000.0,€107.3M
Italy,"LW, CF",LW,ATT,L. Insigne,29,163cm,59kg,Napoli,2010,2022,85,85,€53M,53000000.0,€120K,120000.0,€63.8M
Belgium,CB,CB,DEF,T. Alderweireld,31,186cm,81kg,Tottenham Hotspur,2015,2023,85,85,€37M,37000000.0,€130K,130000.0,€54.2M
Brazil,CB,CB,DEF,Thiago Silva,35,183cm,79kg,Chelsea,2020,2021,85,85,€14.5M,14500000.0,€95K,95000.0,€21.9M
Spain,"CM, RM, LM",CM,MID,Koke,28,176cm,75kg,Atlético Madrid,2011,2024,85,85,€54M,54000000.0,€90K,90000.0,€77.9M
Germany,GK,GK,GK,B. Leno,28,190cm,82kg,Arsenal,2018,2023,85,87,€46M,46000000.0,€105K,105000.0,€66.2M
Belgium,ST,ST,ATT,R. Lukaku,27,191cm,94kg,Inter,2019,2024,85,86,€63M,63000000.0,€165K,165000.0,€79.9M
Brazil,"LB, LM",LB,DEF,Alex Sandro,29,180cm,80kg,Juventus,2015,2023,85,85,€47.5M,47500000.0,€120K,120000.0,€52M
Spain,"CM, CDM",CM,MID,Thiago,29,174cm,70kg,Liverpool,2020,2024,85,85,€52.5M,52500000.0,€150K,150000.0,€68.5M
England,RB,RB,DEF,K. Walker,30,183cm,70kg,Manchester City,2017,2024,85,85,€46.5M,46500000.0,€170K,170000.0,€56.4M
Denmark,"CAM, CM, RM",CAM,MID,C. Eriksen,28,181cm,76kg,Inter,2020,2024,85,85,€54.5M,54500000.0,€155K,155000.0,€66.3M
Hungary,GK,GK,GK,P. Gulácsi,30,191cm,86kg,RB Leipzig,2015,2023,85,85,€36M,36000000.0,€65K,65000.0,€44.2M
Italy,CB,CB,DEF,L. Bonucci,33,190cm,85kg,Juventus,2018,2024,85,85,€26M,26000000.0,€110K,110000.0,€29.7M
Belgium,"CF, ST",CF,ATT,D. Mertens,33,169cm,61kg,Napoli,2013,2022,85,85,€34.5M,34500000.0,€115K,115000.0,€40.8M
Spain,"CAM, CM, CF",CAM,MID,Luis Alberto,27,183cm,74kg,Lazio,2016,2025,85,85,€57.5M,57500000.0,€100K,100000.0,€68.9M
Uruguay,CB,CB,DEF,D. Godín,34,187cm,78kg,Cagliari,2020,2023,85,85,€17.5M,17500000.0,€56K,56000.0,€24.7M
Netherlands,CM,CM,MID,G. Wijnaldum,29,175cm,69kg,Liverpool,2016,2021,85,85,€52.5M,52500000.0,€150K,150000.0,€68.5M
Bosnia Herzegovina,CM,CM,MID,M. Pjanić,30,178cm,72kg,FC Barcelona,2020,2024,85,85,€51.5M,51500000.0,€220K,220000.0,€72.8M
Germany,"CAM, CF",CAM,MID,M. Reus,31,180cm,71kg,Borussia Dortmund,2012,2023,85,85,€44.5M,44500000.0,€95K,95000.0,€57.8M
Nigeria,"CDM, CM",CB,DEF,W. Ndidi,23,183cm,74kg,Leicester City,2017,2024,84,88,€55M,55000000.0,€95K,95000.0,€72.1M
Uruguay,CB,CB,DEF,J. Giménez,25,185cm,79kg,Atlético Madrid,2013,2023,84,88,€52.5M,52500000.0,€71K,71000.0,€76.5M
Cameroon,GK,GK,GK,A. Onana,24,190cm,93kg,Ajax,2015,2022,84,88,€48M,48000000.0,€18K,18000.0,€44.3M
Germany,"CAM, CM",CAM,MID,J. Brandt,24,185cm,83kg,Borussia Dortmund,2019,2024,84,88,€60.5M,60500000.0,€75K,75000.0,€71.9M
Spain,"LW, RW",CAM,MID,Oyarzabal,23,181cm,79kg,Real Sociedad,2014,2024,84,90,€66.5M,66500000.0,€47K,47000.0,€97.8M
Argentina,ST,ST,ATT,L. Martínez,22,174cm,81kg,Inter,2018,2023,84,91,€86.5M,86500000.0,€130K,130000.0,€84.6M
Norway,ST,ST,ATT,E. Haaland,19,194cm,88kg,Borussia Dortmund,2020,2024,84,92,€92M,92000000.0,€56K,56000.0,€85.5M
Brazil,LB,LB,DEF,Alex Telles,27,181cm,71kg,Manchester United,2020,2024,84,85,€44.5M,44500000.0,€145K,145000.0,€61.2M
France,"LM, RM, LW",RM,MID,K. Coman,24,179cm,75kg,FC Bayern München,2015,2023,84,88,€60.5M,60500000.0,€95K,95000.0,€69.9M
Spain,LB,LWB,DEF,Grimaldo,24,171cm,69kg,SL Benfica,2016,2023,84,88,€56M,56000000.0,€20K,20000.0,€73.7M
Brazil,CM,CM,MID,Arthur,23,171cm,73kg,Juventus,2020,2024,84,89,€63.5M,63500000.0,€100K,100000.0,€70.7M
Germany,CB,CB,DEF,N. Süle,24,195cm,97kg,FC Bayern München,2017,2022,84,89,€57.5M,57500000.0,€84K,84000.0,€64.7M
Portugal,"LM, LB, CM",CAM,MID,R. Guerreiro,26,170cm,71kg,Borussia Dortmund,2016,2023,84,85,€49.5M,49500000.0,€86K,86000.0,€64.8M
France,ST,ST,ATT,A. Martial,24,184cm,76kg,Manchester United,2015,2024,84,88,€61M,61000000.0,€155K,155000.0,€81M
Brazil,CB,CB,DEF,Felipe,31,190cm,84kg,Atlético Madrid,2019,2022,84,84,€29M,29000000.0,€74K,74000.0,€47.2M
Germany,"CM, CDM",CM,MID,L. Goretzka,25,189cm,76kg,FC Bayern München,2018,2022,84,88,€58.5M,58500000.0,€105K,105000.0,€68.1M
Spain,"CM, LM, LB",CM,MID,Saúl,25,184cm,75kg,Atlético Madrid,2013,2026,84,87,€55.5M,55500000.0,€78K,78000.0,€81.8M
Ghana,CM,CDM,MID,T. Partey,27,185cm,77kg,Arsenal,2020,2024,84,85,€48M,48000000.0,€120K,120000.0,€69.1M
France,ST,CF,ATT,W. Ben Yedder,29,170cm,68kg,AS Monaco,2019,2024,84,84,€42M,42000000.0,€90K,90000.0,€58.9M
Argentina,LB,LB,DEF,N. Tagliafico,27,172cm,65kg,Ajax,2018,2022,84,84,€40.5M,40500000.0,€27K,27000.0,€38.5M
Mexico,ST,ST,ATT,R. Jiménez,29,188cm,81kg,Wolverhampton Wanderers,2019,2024,84,84,€42M,42000000.0,€140K,140000.0,€58.9M
Croatia,"CDM, CM",CDM,MID,M. Brozović,27,181cm,68kg,Inter,2016,2022,84,85,€43M,43000000.0,€125K,125000.0,€56.8M
France,LB,LB,DEF,L. Digne,26,178cm,74kg,Everton,2018,2023,84,85,€45.5M,45500000.0,€110K,110000.0,€62.2M
Switzerland,GK,GK,GK,R. Bürki,29,187cm,85kg,Borussia Dortmund,2015,2023,84,85,€32.5M,32500000.0,€68K,68000.0,€44.4M
Slovenia,"CF, ST",CAM,MID,J. Iličić,32,190cm,79kg,Atalanta,2017,2022,84,84,€34M,34000000.0,€90K,90000.0,€42.5M
Spain,"RM, RW",RM,MID,José Callejón,33,178cm,73kg,Fiorentina,2020,2022,84,84,€26.5M,26500000.0,€85K,85000.0,€32.3M
Portugal,"RM, CM",RM,MID,Pizzi,30,177cm,72kg,SL Benfica,2013,2023,84,84,€40.5M,40500000.0,€25K,25000.0,€59M
Spain,"CAM, CM, LW",CAM,MID,Isco,28,176cm,79kg,Real Madrid,2013,2022,84,84,€42.5M,42500000.0,€210K,210000.0,€64.6M
Austria,"CB, LB",CB,DEF,D. Alaba,28,180cm,78kg,FC Bayern München,2010,2021,84,84,€36.5M,36500000.0,€105K,105000.0,€45.4M
Senegal,"CDM, CM",CDM,MID,I. Gueye,30,174cm,66kg,Paris Saint-Germain,2019,2023,84,84,€35.5M,35500000.0,€105K,105000.0,€47.2M
Mexico,"RM, RB",RM,MID,J. Corona,27,173cm,62kg,FC Porto,2015,2022,84,84,€45M,45000000.0,€25K,25000.0,€65M
Spain,"ST, RW",ST,ATT,Iago Aspas,32,176cm,67kg,RC Celta,2015,2023,84,84,€34M,34000000.0,€46K,46000.0,€52.5M
Brazil,"LM, RW, LW",LM,MID,Douglas Costa,29,172cm,70kg,FC Bayern München,2018,2022,84,84,€41.5M,41500000.0,€110K,110000.0,€50.3M
Netherlands,CB,CB,DEF,S. de Vrij,28,189cm,78kg,Inter,2018,2023,84,85,€40M,40000000.0,€130K,130000.0,€54.1M
Brazil,"CB, CDM",CB,DEF,Fernandinho,35,179cm,67kg,Manchester City,2013,2021,84,84,€11M,11000000.0,€110K,110000.0,€17.6M
Brazil,CDM,CDM,MID,Lucas Leiva,33,179cm,78kg,Lazio,2017,2022,84,84,€21M,21000000.0,€83K,83000.0,€25.5M
Spain,"RB, LB",RB,DEF,Azpilicueta,30,178cm,77kg,Chelsea,2012,2022,84,84,€36.5M,36500000.0,€120K,120000.0,€46.6M
Italy,GK,GK,GK,S. Sirigu,33,192cm,80kg,Torino,2017,2022,84,84,€13.5M,13500000.0,€54K,54000.0,€28.9M
Denmark,GK,GK,GK,K. Schmeichel,33,189cm,89kg,Leicester City,2011,2023,84,84,€13.5M,13500000.0,€90K,90000.0,€32.3M
Belgium,"CDM, CM",CDM,MID,A. Witsel,31,186cm,81kg,Borussia Dortmund,2018,2022,84,84,€29.5M,29500000.0,€79K,79000.0,€40M
Portugal,GK,GK,GK,Rui Patrício,32,190cm,84kg,Wolverhampton Wanderers,2018,2022,84,84,€21M,21000000.0,€90K,90000.0,€36.1M
Uruguay,ST,ST,ATT,E. Cavani,33,185cm,77kg,Manchester United,2020,2021,84,84,€27M,27000000.0,€175K,175000.0,€37.1M
Spain,"RB, RM",RB,DEF,Jesús Navas,34,172cm,60kg,Sevilla FC,2017,2021,84,84,€15.5M,15500000.0,€43K,43000.0,€23.1M
Morocco,RM,RM,MID,A. Hakimi,21,181cm,73kg,Inter,2020,2025,83,88,€56M,56000000.0,€90K,90000.0,€62.1M
France,LB,LB,DEF,F. Mendy,25,180cm,73kg,Real Madrid,2019,2025,83,88,€49.5M,49500000.0,€160K,160000.0,€64.8M
France,"LW, RW",LM,MID,O. Dembélé,23,178cm,67kg,FC Barcelona,2017,2022,83,89,€57.5M,57500000.0,€175K,175000.0,€79.9M
Belgium,"LM, RM, CF",LM,MID,T. Hazard,27,175cm,71kg,Borussia Dortmund,2019,2024,83,83,€38.5M,38500000.0,€79K,79000.0,€45.9M
Brazil,"CAM, RM",RM,MID,Ronaldo Cabrais,28,177cm,75kg,Grêmio,2019,2023,83,83,€36.5M,36500000.0,€49K,49000.0,€49.4M
England,"RB, RWB",RB,DEF,A. Wan-Bissaka,22,183cm,72kg,Manchester United,2019,2024,83,88,€52M,52000000.0,€115K,115000.0,€60.2M
Switzerland,"CDM, CB, CM",CDM,MID,D. Zakaria,23,190cm,80kg,Borussia Mönchengladbach,2017,2022,83,87,€47.5M,47500000.0,€45K,45000.0,€54.1M
France,"CAM, RM, ST",CAM,MID,N. Fekir,26,173cm,75kg,Real Betis,2019,2023,83,84,€43M,43000000.0,€38K,38000.0,€66.3M
Argentina,"LB, LM",LB,DEF,M. Acuña,28,172cm,69kg,Sevilla FC,2020,2024,83,83,€33M,33000000.0,€41K,41000.0,€46.2M
Netherlands,"LM, LW, RM",CAM,MID,S. Bergwijn,22,178cm,78kg,Tottenham Hotspur,2020,2025,83,88,€56M,56000000.0,€105K,105000.0,€68.1M
England,CB,CB,DEF,J. Gomez,23,188cm,77kg,Liverpool,2015,2024,83,88,€49.5M,49500000.0,€95K,95000.0,€59.7M
Norway,"CAM, CM",CAM,MID,M. Ødegaard,21,178cm,68kg,Real Madrid,2015,2023,83,89,€58.5M,58500000.0,€135K,135000.0,€81M
Netherlands,"CM, CAM",CM,MID,D. van de Beek,23,184cm,74kg,Manchester United,2020,2025,83,87,€52M,52000000.0,€125K,125000.0,€65.2M
Spain,GK,GK,GK,Pau López,25,189cm,77kg,Roma,2019,2024,83,88,€42.5M,42500000.0,€25K,25000.0,€55.5M
Slovakia,GK,GK,GK,M. Dúbravka,31,190cm,80kg,Newcastle United,2018,2025,83,83,€19M,19000000.0,€47K,47000.0,€31.4M
Brazil,CB,CB,DEF,Diego Carlos,27,185cm,86kg,Sevilla FC,2019,2024,83,85,€38.5M,38500000.0,€39K,39000.0,€58.7M
Uruguay,CM,CM,MID,F. Valverde,21,182cm,78kg,Real Madrid,2016,2025,83,90,€73.5M,73500000.0,€135K,135000.0,€81M
Spain,"ST, RM, CF",ST,ATT,Gerard Moreno,28,180cm,77kg,Villarreal CF,2018,2023,83,83,€37M,37000000.0,€56K,56000.0,€56.7M
Brazil,ST,ST,ATT,Gabriel Jesus,23,175cm,73kg,Manchester City,2016,2023,83,87,€52.5M,52500000.0,€150K,150000.0,€66.4M
Portugal,"LM, RM",LM,MID,Rafa,27,172cm,66kg,SL Benfica,2016,2024,83,83,€38.5M,38500000.0,€23K,23000.0,€54M
Brazil,"RM, CF",RM,MID,Lucas Moura,27,174cm,70kg,Tottenham Hotspur,2018,2024,83,83,€38.5M,38500000.0,€120K,120000.0,€51.3M
Albania,GK,GK,GK,T. Strakosha,25,193cm,78kg,Lazio,2012,2022,83,88,€42.5M,42500000.0,€58K,58000.0,€45.3M
Serbia,"LM, LWB",LM,MID,F. Kostić,27,184cm,82kg,Eintracht Frankfurt,2019,2023,83,83,€38.5M,38500000.0,€45K,45000.0,€45.9M
Spain,LB,LWB,DEF,Gayà,25,172cm,66kg,Valencia CF,2012,2023,83,88,€49.5M,49500000.0,€46K,46000.0,€66.3M
England,"CAM, CM",CAM,MID,D. Alli,24,188cm,80kg,Tottenham Hotspur,2015,2024,83,87,€52M,52000000.0,€105K,105000.0,€67.2M
Portugal,RB,RWB,DEF,João Cancelo,26,182cm,74kg,Manchester City,2019,2025,83,86,€43.5M,43500000.0,€140K,140000.0,€53.9M
Italy,CB,CB,DEF,A. Romagnoli,25,188cm,78kg,Milan,2015,2022,83,87,€45.5M,45500000.0,€51K,51000.0,€53.3M
Spain,"LB, LM",LB,DEF,Juan Bernat,27,170cm,67kg,Paris Saint-Germain,2018,2021,83,84,€38M,38000000.0,€95K,95000.0,€49.1M
Bosnia Herzegovina,RM,RM,MID,E. Višća,30,172cm,63kg,Medipol Başakşehir FK,2011,2021,83,83,€35M,35000000.0,€59K,59000.0,€46.6M
France,CB,CB,DEF,S. Umtiti,26,182cm,75kg,FC Barcelona,2016,2023,83,86,€42M,42000000.0,€170K,170000.0,€60.6M
Italy,"CM, CDM",CM,MID,Jorginho,28,180cm,68kg,Chelsea,2018,2023,83,83,€36.5M,36500000.0,€125K,125000.0,€48.5M
Spain,"RW, RM, CF",RW,ATT,Portu,28,167cm,66kg,Real Sociedad,2019,2024,83,83,€36.5M,36500000.0,€50K,50000.0,€54.6M
Austria,"CM, CAM",CAM,MID,M. Sabitzer,26,178cm,76kg,RB Leipzig,2014,2022,83,85,€44.5M,44500000.0,€74K,74000.0,€55M
Colombia,ST,ST,ATT,D. Zapata,29,189cm,88kg,Atalanta,2020,2023,83,83,€36.5M,36500000.0,€87K,87000.0,€44.2M
Croatia,"CM, CDM",CM,MID,M. Kovačić,26,176cm,80kg,Chelsea,2019,2024,83,86,€47M,47000000.0,€120K,120000.0,€62.2M
Portugal,RB,RWB,DEF,Nélson Semedo,26,177cm,69kg,Wolverhampton Wanderers,2020,2023,83,86,€43.5M,43500000.0,€100K,100000.0,€55.3M
Brazil,"CDM, CM",CDM,MID,Fernando,32,183cm,76kg,Sevilla FC,2019,2022,83,83,€24M,24000000.0,€39K,39000.0,€35.7M
